productCode,productName,productVendor,buyPrice,New_Price
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport","Exoto Designs",43.26,56.015
S18_4522,"1904 Buick Runabout","Exoto Designs",52.66,53.885
S18_4600,"1940s Ford truck","Motor City Art Classics",84.76,70.540
S18_4668,"1939 Cadillac Limousine","Studio M Art Models",23.14,35.155
S18_4721,"1957 Corvette Convertible","Classic Metal Creations",69.93,84.400
S18_4933,"1957 Ford Thunderbird","Studio M Art Models",34.21,45.635
S24_1046,"1970 Chevy Chevelle SS 454","Unimax Art Galleries",49.24,46.745
S24_1444,"1970 Dodge Coronet","Highway 66 Mini Classics",32.37,38.900
S24_1578,"1997 BMW R 1100 S","Autoart Studio Design",60.86,66.350
S24_1628,"1966 Shelby Cobra 427 S/C","Carousel DieCast Legends",29.18,35.155
S24_1785,"1928 British Royal Navy Airplane","Classic Metal Creations",66.74,64.710
S24_1937,"1939 Chevrolet Deluxe Coupe","Motor City Art Classics",22.57,26.595
S24_2000,"1960 BSA Gold Star DBD34","Highway 66 Mini Classics",37.32,48.085
S24_2011,"18th century schooner","Carousel DieCast Legends",82.34,71.445
S24_2022,"1938 Cadillac V-16 Presidential Limousine","Classic Metal Creations",20.61,32.400
S24_2300,"1962 Volkswagen Microbus","Autoart Studio Design",61.34,73.895
S24_2360,"1982 Ducati 900 Monster","Highway 66 Mini Classics",47.10,44.630
S24_2766,"1949 Jaguar XK 120","Classic Metal Creations",47.25,55.435
S24_2840,"1958 Chevy Corvette Limited Edition","Carousel DieCast Legends",15.91,27.680
S24_2841,"1900s Vintage Bi-Plane","Autoart Studio Design",34.25,44.255
S24_2887,"1952 Citroen-15CV","Exoto Designs",72.82,68.720
S24_2972,"1982 Lamborghini Diablo","Second Gear Diecast",16.24,28.880
S24_3151,"1912 Ford Model T Delivery Wagon","Min Lin Diecast",46.91,54.255
S24_3191,"1969 Chevrolet Camaro Z28","Exoto Designs",50.51,52.805
S24_3371,"1971 Alpine Renault 1600s","Welly Diecast Productions",38.58,40.615
S24_3420,"1937 Horch 930V Limousine","Autoart Studio Design",26.30,42.875
S24_3432,"2002 Chevy Corvette","Gearbox Collectibles",62.11,63.540
S24_3816,"1940 Ford Delivery Sedan","Carousel DieCast Legends",48.64,51.930
S24_3856,"1956 Porsche 356A Coupe","Classic Metal Creations",98.30,80.215
S24_3949,"Corsair F4U ( Bird Cage)","Second Gear Diecast",29.34,44.120
S24_3969,"1936 Mercedes Benz 500k Roadster","Red Start Diecast",21.75,30.515
S24_4048,"1992 Porsche Cayenne Turbo Silver","Exoto Designs",69.78,69.140
S24_4258,"1936 Chrysler Airflow","Second Gear Diecast",57.46,58.695
S24_4278,"1900s Vintage Tri-Plane","Unimax Art Galleries",36.23,46.225
S24_4620,"1961 Chevrolet Impala","Classic Metal Creations",32.33,50.420
S32_1268,"1980’s GM Manhattan Express","Motor City Art Classics",53.93,58.155
S32_1374,"1997 BMW F650 ST","Exoto Designs",66.92,59.945
S32_2206,"1982 Ducati 996 R","Gearbox Collectibles",24.14,30.115
S32_2509,"1954 Greyhound Scenicruiser","Classic Metal Creations",25.98,37.055
S32_3207,"1950's Chicago Surface Lines Streetcar","Gearbox Collectibles",26.72,41.070
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger","Red Start Diecast",33.61,42.320
S32_4289,"1928 Ford Phaeton Deluxe","Highway 66 Mini Classics",33.02,44.395
S32_4485,"1974 Ducati 350 Mk3 Desmo","Second Gear Diecast",56.13,61.025
S50_1341,"1930 Buick Marquette Phaeton","Studio M Art Models",27.06,31.820
S50_1392,"Diamond T620 Semi-Skirted Tanker","Highway 66 Mini Classics",68.29,67.875
S50_1514,"1962 City of Detroit Streetcar","Classic Metal Creations",37.49,39.290
S50_4713,"2002 Yamaha YZR M1","Autoart Studio Design",34.17,50.680
S700_1138,"The Schooner Bluenose","Autoart Studio Design",34.00,43.335
S700_1691,"American Airlines: B767-300","Min Lin Diecast",51.15,55.670
S700_1938,"The Mayflower","Studio M Art Models",43.30,53.305
S700_2047,"HMS Bounty","Unimax Art Galleries",39.83,55.260
S700_2466,"America West Airlines B757-200","Motor City Art Classics",68.80,59.860
S700_2610,"The USS Constitution Ship","Red Start Diecast",33.97,46.140
S700_2824,"1982 Camaro Z28","Carousel DieCast Legends",46.53,60.575
S700_2834,"ATA: B757-300","Highway 66 Mini Classics",59.33,69.325
S700_3167,"F/A 18 Hornet 1/72","Motor City Art Classics",54.40,50.000
S700_3505,"The Titanic","Carousel DieCast Legends",51.09,60.085
S700_3962,"The Queen Mary","Welly Diecast Productions",53.63,59.655
S700_4002,"American Airlines: MD-11S","Second Gear Diecast",36.27,47.015
S72_1253,"Boeing X-32A JSF","Motor City Art Classics",32.77,34.830
S72_3212,"Pont Yacht","Unimax Art Galleries",33.30,37.300
